MiniApp,API,GroundTruth,MiniDroid,TaintMini,GroundTruth_Pages,MiniDroid_Pages,TaintMini_Pages
wx4df15ce98eee5097,wx.chooseAddress,2,2,2,"['pages/purchase/purchase_info/purchase_info', 'pages/address/address']","['pages/purchase/purchase_info/purchase_info', 'pages/address/address']","['purchase/purchase_info/purchase_info', 'address/address']"
wx4df15ce98eee5097,wx.getUserProfile,2,2,2,"['pages/member/member', 'pages/member/register/register']","['pages/member/member', 'pages/member/register/register']","['member/register/register', 'member/member']"
wx7bf99600808c08a2,wx.getLocation,2,2,2,"['pages/nearbylist/nearbylist', 'pages/drawnearbylist/drawnearbylist']","['pages/nearbylist/nearbylist', 'pages/drawnearbylist/drawnearbylist']","['nearbylist/nearbylist', 'drawnearbylist/drawnearbylist']"
wx7bf99600808c08a2,wx.chooseImage,6,6,6,"['pages/index/index', 'pages/DIYcontent/DIYcontent', 'pages/userfeedback/userfeedback', 'pages/PComment/PComment', 'pages/navigationpage/navigationpage', 'pages/SecondaryPage/SecondaryPage']","['pages/index/index', 'pages/DIYcontent/DIYcontent', 'pages/userfeedback/userfeedback', 'pages/PComment/PComment', 'pages/navigationpage/navigationpage', 'pages/SecondaryPage/SecondaryPage']","['index/index', 'PComment/PComment', 'SecondaryPage/SecondaryPage', 'userfeedback/userfeedback', 'navigationpage/navigationpage', 'DIYcontent/DIYcontent']"
wx7bf99600808c08a2,wx.getUserInfo,1,1,0,['pages/smashgoldeneggs/smashgoldeneggs'],['pages/smashgoldeneggs/smashgoldeneggs'],[]
wx7bf99600808c08a2,wx.chooseAddress,1,1,0,['pages/UserCenter/UserCenter'],['pages/UserCenter/UserCenter'],[]
wx7bf99600808c08a2,wx.saveImageToPhotosAlbum,11,7,1,"['pages/productdetail/productdetail', 'pages/fightgroupsdetail/fightgroupsdetail', 'pages/Receivetails/Receivetails', 'pages/endorsement/endorsement', 'pages/orderdetail/orderdetail', 'pages/favorableorderdetail/favorableorderdetail', 'pages/bargain/bargain', 'pages/bargainDetail/bargainDetail', 'pages/orderMessageDetail/orderMessageDetail', 'pages/Popularitycharts/Popularitycharts', 'server/productdetail/productdetail']","['pages/productdetail/productdetail', 'pages/endorsement/endorsement', 'pages/orderdetail/orderdetail', 'pages/bargain/bargain', 'pages/bargainDetail/bargainDetail', 'pages/orderMessageDetail/orderMessageDetail', 'pages/Popularitycharts/Popularitycharts']",['Popularitycharts/Popularitycharts']
wx76a3a68af7e874fb,wx.createCameraContext,2,2,1,"['pages/capture/capture', 'pages/test/capture']","['pages/capture/capture', 'pages/test/capture']",['capture/capture']
wx76a3a68af7e874fb,wx.saveVideoToPhotosAlbum,1,1,1,['pages/preview/preview'],['pages/preview/preview'],['preview/preview']
wx76a3a68af7e874fb,wx.saveImageToPhotosAlbum,2,2,1,"['pages/qrcode/qrcode', 'pages/preview/photo']","['pages/qrcode/qrcode', 'pages/preview/photo']",['preview/photo']
wx76a3a68af7e874fb,wx.getUserProfile,1,1,1,['pages/ucenter/ucenter'],['pages/ucenter/ucenter'],['ucenter/ucenter']
wx76a3a68af7e874fb,wx.getLocation,1,0,0,['pages/index/index'],[],[]
wx76a3a68af7e874fb,wx.chooseImage,2,2,2,"['pages/capture/capture', 'pages/test/capture']","['pages/capture/capture', 'pages/test/capture']","['test/capture', 'capture/capture']"
wx76a3a68af7e874fb,wx.chooseAddress,1,1,1,['pages/shop/submit'],['pages/shop/submit'],['shop/submit']
wx7a3db22c7de906d0,wx.chooseInvoice,1,0,0,['pages/user/applyInvoice/index'],[],[]
wx7a3db22c7de906d0,wx.saveImageToPhotosAlbum,1,0,0,['pages/serviceHelp/index'],[],[]
wx7a3db22c7de906d0,wx.getUserProfile,2,1,1,"['pages/index/index', 'pages/user/index']",['pages/user/index'],['user/index']
wx7a3db22c7de906d0,wx.chooseImage,1,1,1,['pages/complaint/complaint'],['pages/complaint/complaint'],['complaint/complaint']
wx7a3db22c7de906d0,wx.chooseInvoiceTitle,1,1,1,['pages/user/applyInvoice/index'],['pages/user/applyInvoice/index'],['user/applyInvoice/index']
